Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
34,0,1,9,2,2,2,4,0,3,1,4,0,1,0,0,1,17979
32,1,1,6,2,2,3,3,1,4,0,2,0,3,0,0,2,21220
30,1,3,11,2,1,2,3,3,3,0,3,0,4,1,1,3,24419
39,1,3,9,3,2,3,4,3,4,3,2,0,4,1,2,3,26029
37,0,1,31,2,1,3,4,1,4,1,2,0,3,1,2,2,24352
34,1,1,9,2,2,3,4,0,3,2,2,0,3,0,2,1,21178
27,0,1,7,2,1,4,6,0,3,1,5,0,4,1,3,1,23042
30,1,3,6,2,2,3,4,1,5,1,2,0,4,1,1,2,24714
53,0,1,32,3,1,3,5,4,3,1,5,0,5,0,2,0,32504
55,0,1,7,2,1,3,4,3,3,1,2,0,5,1,2,3,29180
46,0,1,6,3,2,2,4,3,5,0,3,1,2,1,1,3,25673
39,0,1,19,2,2,2,5,1,5,1,4,0,5,1,1,2,24966
54,0,2,32,2,1,1,2,4,3,2,3,1,3,1,0,0,32328
42,1,1,19,3,2,3,1,1,5,1,6,0,4,1,0,2,20538
33,1,1,12,2,1,3,2,0,3,1,5,0,5,1,2,1,21990
35,1,1,6,3,2,1,4,0,3,2,2,0,4,1,0,1,17859
39,1,1,16,3,2,3,3,3,3,3,1,0,3,1,0,3,28464
29,1,1,17,2,1,3,4,1,3,3,5,0,4,1,2,2,22338
23,0,1,11,1,2,3,5,0,3,3,7,0,5,1,1,1,22572
37,0,1,15,3,2,2,3,0,3,0,2,1,2,0,0,1,17326
33,1,1,10,3,1,4,4,1,5,1,3,0,1,1,1,2,25403
33,1,1,7,2,2,4,4,0,5,3,3,0,1,0,2,1,21634
50,0,1,25,2,2,4,4,1,3,1,3,1,1,0,1,2,25482
42,1,1,6,2,1,2,4,1,3,1,1,1,3,0,0,2,21062
43,0,1,33,3,1,3,4,3,5,1,5,1,3,0,1,3,31869
36,0,1,15,2,2,3,1,0,4,1,2,0,5,1,0,1,17810
27,1,3,8,3,1,2,1,1,3,3,1,0,1,0,1,2,21500
29,1,3,16,2,2,4,4,1,3,3,3,0,3,1,2,2,23931
34,1,1,12,2,1,4,5,0,3,0,3,0,2,0,3,1,21589
41,1,3,21,2,1,3,4,1,5,1,3,0,3,0,2,2,23317
32,1,3,20,3,2,4,5,1,5,1,7,1,1,1,1,2,20980
50,0,2,9,3,2,3,3,2,4,1,2,0,1,1,2,4,33200
24,0,3,30,3,2,2,3,0,3,1,1,0,4,1,1,1,17400
43,1,1,7,2,1,3,5,1,3,1,2,1,3,0,1,2,24740
39,1,1,16,3,2,3,3,1,5,1,3,0,5,1,2,2,20377
55,1,1,6,3,2,2,3,2,5,2,1,1,1,1,1,4,34045
33,0,1,10,2,0,3,4,0,3,3,3,0,4,1,1,1,24887
34,1,3,23,2,0,4,4,3,5,3,4,1,5,0,1,3,27242
25,1,1,25,2,2,3,4,0,3,1,2,0,4,0,1,1,21452
30,1,1,24,2,1,3,3,0,3,2,2,0,1,1,2,1,17632
32,0,3,12,3,1,3,4,0,4,1,3,0,3,0,1,1,21467
34,0,1,12,2,1,4,4,3,4,0,8,0,3,1,3,3,30556
50,1,1,30,2,2,3,3,4,3,1,4,1,4,1,2,0,28973
33,1,1,6,2,2,3,4,0,5,2,4,1,4,0,0,1,17799
36,0,3,18,3,2,3,4,1,3,1,3,0,5,0,1,2,23646
50,0,1,25,2,2,4,4,1,3,1,3,1,2,0,2,2,25482
49,0,3,14,3,1,4,4,0,3,1,4,1,4,1,2,1,21333
37,0,3,14,3,1,3,2,1,5,0,4,0,1,1,1,2,23317
30,1,1,24,2,1,3,3,0,3,2,2,0,2,1,0,1,17632
23,1,1,7,2,2,4,4,0,3,3,2,0,3,0,3,1,22053
34,1,1,33,3,1,3,3,0,4,2,3,0,3,0,0,1,17311
52,1,3,28,3,2,4,4,1,3,3,2,1,5,0,3,2,24119
27,0,3,36,3,2,4,6,1,5,3,2,0,3,0,1,2,23647
40,0,3,30,2,0,3,1,4,4,3,5,1,3,1,2,0,28194
44,1,1,8,2,1,3,1,0,3,0,2,0,4,1,0,1,17011
27,0,1,9,2,2,3,4,0,5,1,8,1,5,0,1,1,20720
42,0,1,12,2,2,4,5,0,5,1,8,0,3,1,1,1,20785
28,1,3,9,3,2,3,4,0,5,1,2,0,5,0,2,1,21719
59,1,1,12,1,1,3,5,3,4,1,4,1,5,1,2,3,29230
40,1,3,28,2,2,3,5,1,3,0,5,1,1,0,2,2,24798
29,0,2,7,2,2,3,4,0,3,1,3,0,4,0,2,1,21384
35,1,1,15,2,1,3,4,1,5,1,5,0,5,1,1,2,23799
34,1,2,15,1,1,2,3,0,3,0,2,0,1,1,0,1,17742
36,1,1,10,2,2,2,4,1,3,2,2,0,5,1,1,2,20810
41,0,1,16,2,2,3,4,4,5,1,5,0,2,1,0,0,32181
46,0,1,6,3,2,2,4,3,5,1,3,1,1,1,1,3,25673
27,1,3,36,3,2,3,4,1,3,1,7,0,5,1,1,2,22984
32,0,3,27,2,2,4,2,0,3,1,2,0,5,1,1,1,21469
38,1,1,26,2,2,4,4,0,4,1,6,0,4,0,2,1,21700
34,0,3,29,3,2,4,4,1,4,1,2,0,1,0,1,2,24824
51,1,2,11,2,2,2,3,4,4,1,2,1,3,1,1,0,29026
40,1,1,8,3,1,2,4,0,3,2,1,1,3,1,1,1,17342
49,1,1,13,2,2,2,4,3,3,3,1,0,1,1,0,3,25965
48,1,1,16,2,1,4,4,0,3,2,6,0,3,1,1,1,20783
29,1,3,26,3,2,2,3,1,3,1,3,0,1,1,0,2,21931
25,0,3,31,3,2,3,4,0,3,1,2,0,4,1,2,1,21078
35,1,3,23,2,2,3,3,1,5,1,4,1,3,0,2,2,23966
30,1,3,17,3,1,3,5,1,4,1,3,1,5,1,1,2,26946
35,1,1,29,2,2,2,4,1,3,1,4,1,4,1,0,2,20916
36,1,1,8,2,1,3,3,0,3,1,5,0,5,1,0,1,17543
50,1,3,5,3,2,2,3,2,3,1,5,1,5,0,1,4,34331
44,1,3,32,3,2,4,5,3,3,1,7,0,4,1,2,3,29476
38,1,3,8,3,2,2,3,3,4,3,1,0,4,1,0,3,22351
37,1,1,14,2,2,4,4,0,4,2,4,0,1,0,3,1,20691
32,1,2,9,2,2,4,5,1,5,0,5,0,3,0,2,2,25088
42,0,3,17,2,2,3,4,1,3,3,2,0,2,0,2,2,24908
50,1,1,34,3,2,3,2,0,3,0,2,1,2,1,2,1,18221
25,0,1,14,2,1,3,4,0,3,1,3,1,4,0,1,1,21564
19,1,1,15,2,2,2,3,0,5,2,2,0,3,0,0,1,17552
41,1,3,17,3,2,4,5,3,4,1,4,0,4,0,1,3,28383
47,0,1,25,3,1,3,4,3,3,0,7,0,3,1,1,3,29205
32,0,3,27,3,1,3,4,1,3,0,3,0,2,1,1,2,25610
44,1,3,34,3,1,2,1,4,3,0,4,1,2,1,1,0,28320
51,1,3,15,3,2,3,4,0,4,0,2,0,2,1,1,1,22553
37,1,1,7,2,1,2,4,1,3,1,2,0,1,0,0,2,21474
36,1,1,7,3,2,4,5,0,5,2,3,0,1,0,3,1,21128
30,1,1,15,2,2,4,6,0,5,0,3,1,3,1,2,1,20797
43,1,3,21,3,0,4,5,1,3,3,2,0,3,1,1,2,24922
28,1,3,9,2,2,4,4,1,3,3,3,1,4,0,2,2,23156
33,1,1,9,1,2,3,5,1,5,2,6,0,4,0,2,2,20854
35,1,1,28,2,1,3,2,3,4,1,1,0,5,1,1,3,26996
43,0,3,32,2,2,3,3,4,3,1,2,1,1,1,0,0,31959
26,1,1,11,1,2,3,4,0,3,0,3,1,3,1,1,1,22369
30,0,1,9,3,2,3,5,0,5,3,2,0,4,1,2,1,22017
29,1,3,20,3,0,3,4,1,3,3,5,1,5,1,2,2,28532
37,0,3,7,3,0,3,4,1,3,3,6,0,2,1,2,2,25331
47,0,1,7,3,2,3,5,3,5,1,4,1,1,1,2,3,29351
52,1,1,10,3,1,4,4,4,4,2,5,0,5,0,2,0,32412
34,1,1,9,2,2,3,4,0,3,2,2,0,3,1,1,1,21178
33,0,3,16,3,2,3,6,1,3,1,2,0,1,0,2,2,23346
52,1,3,17,2,1,4,4,3,4,1,7,0,1,1,3,3,31820
35,0,1,6,3,2,3,3,0,5,0,5,0,2,0,1,1,17194
26,1,1,29,2,1,2,3,0,3,1,2,0,3,0,0,1,17886
53,1,1,15,3,2,3,5,1,4,0,4,0,2,1,2,2,23619
47,0,1,25,3,1,3,4,3,3,1,7,0,3,0,2,3,29205
28,1,1,18,2,2,4,4,0,5,0,2,0,5,1,3,1,20777
33,1,3,16,3,2,2,3,1,3,2,2,0,1,0,0,2,20487
31,0,3,26,3,1,2,3,1,3,1,2,0,1,1,1,2,21932
39,0,1,16,2,2,4,4,1,5,1,6,0,3,0,3,2,25571
47,1,3,7,3,1,4,4,3,5,1,3,0,2,1,2,3,29131
34,1,1,6,2,2,2,3,0,3,1,2,0,3,1,1,1,17691
28,1,1,18,2,1,3,3,0,3,0,2,1,4,1,0,1,17515
33,1,1,7,2,2,4,4,1,4,0,3,0,3,0,1,2,24898
39,1,3,14,3,1,3,3,1,5,1,3,1,3,0,1,2,24283
31,0,1,6,2,1,3,1,3,4,3,2,0,3,1,2,3,22446
30,1,1,16,2,2,2,5,0,3,3,2,0,2,1,1,1,22661
45,0,1,13,2,2,3,3,3,5,1,2,0,2,1,2,3,20210
32,1,1,7,2,2,4,5,0,5,0,3,0,4,0,1,1,20896
42,1,1,8,3,1,2,4,0,5,1,1,1,4,1,1,1,17593
52,1,1,11,2,2,3,4,0,3,1,2,1,1,0,1,1,21139
34,1,1,6,2,1,3,1,0,3,2,3,0,1,1,1,1,18280
35,1,1,12,3,1,3,5,3,5,2,4,0,2,0,1,3,30309
52,1,1,12,1,2,3,3,1,5,1,4,1,4,1,2,2,20577
45,0,1,9,3,2,3,4,3,3,2,7,1,1,0,2,3,28887
28,0,1,10,3,2,4,5,0,3,1,3,1,1,0,3,1,21244
42,0,1,25,3,2,2,2,0,3,1,7,1,3,1,1,1,17759
59,0,1,9,2,2,3,5,0,3,1,2,1,1,1,1,1,21058
37,1,1,13,2,2,3,4,0,3,1,2,0,5,1,2,1,21888
47,1,1,15,2,1,4,5,1,5,1,2,1,1,1,3,2,23293
59,0,1,20,2,0,2,3,3,3,3,1,1,5,1,0,3,25512
44,1,3,11,3,1,3,5,3,3,2,5,0,3,1,1,3,28909
21,0,1,16,2,1,2,4,0,3,2,2,0,4,1,0,1,17625
