Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
55,1,1,17,3,1,4,4,1,5,3,8,1,1,0,1,2,23118
39,1,1,9,2,2,3,4,0,3,3,7,1,4,0,2,1,22622
42,0,2,8,3,2,3,1,1,5,0,1,0,2,0,2,2,21272
37,1,1,12,2,1,3,5,0,5,0,2,1,2,1,1,1,98678
23,1,1,7,2,2,3,5,1,3,0,8,0,2,1,1,2,23453
33,0,1,31,2,2,4,4,1,3,0,3,0,4,1,1,2,23987
38,1,1,24,3,2,2,5,1,3,1,4,1,5,0,1,2,20811
60,1,1,9,2,1,4,5,4,3,2,5,1,5,0,3,0,32404
53,0,3,8,3,1,2,4,3,4,1,3,0,1,1,0,3,22525
37,1,1,33,2,2,4,4,1,3,1,8,0,3,1,1,2,24025
60,0,3,34,3,1,3,4,3,5,1,5,0,1,1,0,3,25266
43,1,1,36,3,2,3,6,1,3,3,6,0,3,1,2,2,22950
35,1,1,22,3,2,2,1,0,4,1,1,0,4,1,1,1,17426
43,1,1,10,2,1,4,2,1,3,1,4,1,5,1,1,2,23909
52,0,1,34,3,1,2,1,4,3,0,3,1,4,0,0,0,28247
59,0,1,9,2,2,3,5,0,3,1,2,1,2,0,1,1,21058
36,1,1,33,3,2,3,3,1,3,0,7,0,3,1,0,2,20237
29,0,1,23,3,2,3,4,0,3,2,3,0,3,0,1,1,20822
37,1,1,16,3,2,3,5,1,4,1,4,1,4,0,2,2,27525
38,1,1,8,2,2,2,3,1,3,0,1,0,2,0,1,2,21553
31,0,3,6,2,1,2,5,0,3,2,2,0,3,1,1,1,16359
46,1,3,16,3,2,4,4,3,5,1,6,1,2,1,1,3,29439
41,1,3,14,3,2,3,4,0,4,3,3,0,5,0,1,1,23339
35,1,1,13,2,2,3,3,0,4,2,2,1,3,1,1,1,20363
29,1,3,16,2,2,3,3,0,3,2,2,0,4,1,0,1,17642
51,1,3,27,3,2,3,3,1,3,2,1,1,5,0,2,2,20441
39,1,1,6,3,2,2,2,3,3,1,1,0,3,1,0,3,24613
37,1,3,22,3,2,3,4,1,3,1,5,0,5,1,2,2,21334
33,0,3,23,2,2,2,3,4,3,2,2,0,3,1,1,0,32444
51,0,3,19,3,0,4,4,3,3,3,6,0,5,1,3,3,27886
42,1,1,12,2,2,3,2,1,4,3,5,0,5,1,1,2,25548
33,1,3,15,1,1,4,5,1,4,0,3,1,2,1,1,2,23906
30,0,1,17,2,1,4,4,0,4,1,2,0,5,1,1,1,21969
41,1,3,7,3,2,3,6,1,3,0,4,1,3,1,1,2,26135
38,0,1,12,1,2,3,2,0,3,3,2,0,5,1,1,1,22178
28,0,3,9,2,2,3,6,1,3,3,5,0,4,1,2,2,23749
27,1,1,24,3,2,4,6,0,3,1,3,0,3,0,3,1,20983
27,1,1,11,2,1,2,3,0,4,2,2,1,3,0,1,1,17478
24,1,1,11,3,2,3,2,0,5,1,4,0,4,0,2,1,21497
34,0,1,22,2,1,3,4,0,3,2,2,0,5,1,2,1,17553
37,1,3,17,3,2,3,5,3,5,1,2,0,5,0,1,3,25772
34,0,1,7,3,2,3,4,1,5,2,1,0,1,0,0,2,20343
30,0,3,32,3,1,2,4,1,5,3,6,0,2,0,1,2,21696
27,1,1,23,1,2,2,3,0,4,1,1,1,4,0,0,1,18058
36,1,1,9,2,2,3,5,3,4,1,4,0,4,1,1,3,28952
40,1,1,30,1,2,3,3,1,3,1,2,0,3,1,1,2,18319
38,1,1,7,1,0,3,4,3,3,3,6,0,5,1,2,3,26169
33,1,3,9,3,2,3,5,1,4,2,2,1,1,1,1,2,28585
30,1,1,16,2,2,2,5,0,3,3,2,0,1,1,1,1,22661
52,1,1,6,2,2,3,3,4,3,1,3,0,1,1,2,0,32099
33,1,3,7,2,2,3,6,1,4,3,8,0,3,0,2,2,25413
20,0,1,17,3,1,4,5,0,4,2,3,1,5,0,3,1,20537
38,0,1,29,2,2,2,4,3,3,3,1,0,3,0,0,3,24526
31,1,1,17,2,2,2,3,0,3,1,4,1,3,0,0,1,17356
52,1,1,11,2,2,3,4,0,3,0,2,1,2,1,2,1,21139
39,1,1,10,1,1,3,4,1,3,3,5,1,5,1,1,2,22995
40,1,3,11,2,1,3,5,1,3,1,6,0,5,1,2,2,24580
26,1,1,26,3,2,4,4,0,3,0,5,0,5,1,3,1,22347
47,0,3,15,2,2,2,5,4,3,1,1,0,5,1,1,0,27936
28,1,3,16,3,2,3,3,0,4,1,2,0,5,0,2,1,16052
19,0,1,15,3,2,4,4,0,3,2,3,0,5,0,1,1,20582
52,1,3,9,3,2,2,4,4,5,1,2,0,5,1,0,0,31856
20,0,3,7,1,1,4,6,0,5,2,2,0,3,1,2,1,21003
